px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
11.4566	21.0514	4.93884	3.13922	0.558469	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281	1.22791
11.2535	21.0419	4.84776	3.16848	0.560273	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057	0.769803
10.9896	21.0083	4.90308	3.20488	0.567969	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565	4.38585
10.7919	20.969	4.80344	3.23961	0.573903	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643	0.75062
10.5482	20.9599	4.74719	3.25935	0.562321	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604	4.88979
10.26	20.9852	4.86177	3.26909	0.54654	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674	3.17761
10.0241	20.964	4.84667	3.29228	0.54288	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463	0.981139
9.84386	20.9221	4.72952	3.32265	0.546658	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327	1.57243
9.63039	20.8998	4.60007	3.33959	0.533646	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189	2.17568
9.44333	20.8488	4.52567	3.36942	0.536944	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977	0.599229
9.23304	20.8029	4.51613	3.39485	0.536486	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362	1.37772
8.92071	20.7719	4.69617	3.40571	0.521808	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605	3.18962
8.71386	20.6929	4.66583	3.43816	0.527467	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372	4.17331
8.41979	20.6115	4.80707	3.46102	0.523133	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701	3.13836
8.19388	20.5319	4.80939	3.48788	0.523914	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542	0.0306445
7.94459	20.4515	4.85427	3.51023	0.520347	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237	0.215599
7.72776	20.3679	4.87998	3.53688	0.522995	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781	3.27695
7.40451	20.3043	5.05273	3.54087	0.50337	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717	3.69563
7.17618	20.2077	5.00692	3.56366	0.499827	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399	0.386727
6.90662	20.1214	5.07698	3.57735	0.490045	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462	0.78103
6.69068	20.0282	4.99934	3.5972	0.4847	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357	0.823409
6.44079	19.9345	5.03852	3.61213	0.47687	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079	0.52458
6.23423	19.8398	4.9775	3.63165	0.47314	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625	3.12271
5.96644	19.7435	5.0532	3.64106	0.460982	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993	1.15177
5.7279	19.6029	5.14427	3.66752	0.465158	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178	1.38651
5.55814	19.4821	5.04683	3.69638	0.4707	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418	1.51697
5.35713	19.3355	5.03787	3.72512	0.475151	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995	1.5983
5.14775	19.2329	5.01168	3.73862	0.467291	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622	2.27539
4.97598	19.1182	4.86063	3.75873	0.463073	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059	4.77114
4.81219	18.9735	4.80729	3.78849	0.468972	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305	0.397418
4.60148	18.8233	4.89119	3.8099	0.468374	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359	1.64357
4.42418	18.6942	4.84947	3.82976	0.466016	4.4685	18.834	4.43224	18.7188	-3.99012	-3.0422	1.13265
4.25764	18.55	4.74612	3.85255	0.46418	4.69245	18.4634	4.23416	18.5648	-3.93685	-3.11888	1.15356
4.13049	18.4033	4.65774	3.884	0.471887	4.26269	18.481	4.03876	18.4071	-3.88293	-3.19362	1.3784
3.92931	18.2328	4.88609	3.90677	0.475039	3.42434	18.8357	3.84606	18.2457	-3.82841	-3.26644	7.47255
3.66947	18.0832	4.99169	3.90634	0.454151	3.45919	18.167	3.65611	18.0807	-3.77339	-3.33732	3.15836
3.52195	17.9327	4.82737	3.9282	0.451508	4.3011	17.9267	3.46891	17.9122	-3.71795	-3.40627	3.47104
3.28907	17.7619	4.91883	3.93536	0.437869	3.12525	17.7493	3.28449	17.7402	-3.66215	-3.47331	1.66724
3.1007	17.5796	5.02778	3.95589	0.438562	2.65664	17.888	3.10287	17.565	-3.60609	-3.53844	2.20013
2.9286	17.4601	4.95956	3.96301	0.42731	2.9449	17.8154	2.92405	17.3866	-3.54982	-3.60167	6.64712
2.76617	17.2491	5.08886	3.99391	0.437712	3.26647	17.0897	2.74805	17.2051	-3.49344	-3.66302	2.48095
2.58719	17.0611	5.10187	4.0113	0.43389	2.55407	17.0853	2.57486	17.0205	-3.437	-3.72251	0.100464
2.43965	16.8948	4.90906	4.02759	0.426515	2.55039	16.8884	2.4045	16.833	-3.38059	-3.78014	2.384
2.27586	16.7237	4.89924	4.042	0.420979	2.25371	16.8334	2.23695	16.6427	-3.32428	-3.83595	0.667543
2.11322	16.5258	4.84323	4.05924	0.415727	1.57735	16.0489	2.07221	16.4497	-3.26812	-3.88995	4.91758
1.94771	16.2977	4.91093	4.08143	0.416091	1.88972	16.1054	1.91027	16.254	-3.21219	-3.94216	2.13994
1.8095	16.1206	4.80181	4.09777	0.411069	1.74362	16.2687	1.75112	16.0557	-3.15656	-3.99261	0.957585
1.60919	15.9494	4.8473	4.09595	0.392249	1.44745	16.0853	1.59474	15.8549	-3.10129	-4.04132	2.60056
1.46815	15.7207	4.99275	4.12224	0.399685	1.6097	15.5526	1.44111	15.6517	-3.04644	-4.08832	1.7273
1.29055	15.4997	5.05708	4.13312	0.391511	1.18395	15.4284	1.29021	15.4463	-2.99207	-4.13364	0.963386
1.14646	15.3067	4.99248	4.1461	0.385158	0.828993	15.528	1.14201	15.2386	-2.93825	-4.1773	1.28274
0.933434	15.0819	5.10291	4.14459	0.366898	0.722706	15.0075	0.996486	15.0288	-2.88503	-4.21933	3.02246
0.81161	14.9035	4.93055	4.15823	0.361178	1.03147	15.2134	0.853604	14.8169	-2.83246	-4.25977	2.86376
0.698668	14.6947	4.91117	4.18027	0.364651	0.737301	14.7047	0.71333	14.603	-2.78061	-4.29864	0.0972117
0.576866	14.4551	5.02925	4.20458	0.371035	0.722177	14.2445	0.575628	14.3872	-2.72952	-4.33598	1.44602
0.400274	14.2289	5.09765	4.20752	0.357484	0.253435	14.2029	0.440459	14.1696	-2.67925	-4.37181	1.3625
0.261684	13.9767	5.27744	4.22687	0.360795	-0.0328023	13.9604	0.307779	13.9502	-2.62984	-4.40617	2.27769
0.228703	13.7351	5.19577	4.27204	0.384016	0.459172	13.6856	0.177545	13.7292	-2.58135	-4.43909	3.38785
0.114685	13.4918	5.27346	4.29155	0.385281	0.0524412	13.6377	0.0497099	13.5065	-2.53381	-4.47061	0.676486
-0.0456736	13.2546	5.32046	4.29375	0.370645	-0.190344	13.2856	-0.0757753	13.2823	-2.48728	-4.50075	1.33189
-0.154155	13.0387	5.17751	4.30617	0.363849	-0.275043	13.1456	-0.198962	13.0566	-2.44179	-4.52955	1.5056
-0.170732	12.8227	5.06769	4.34674	0.383611	0.0462308	12.9301	-0.319903	12.8295	-2.39739	-4.55704	3.51851
-0.276197	12.5977	4.95872	4.358	0.375264	-0.684792	12.3563	-0.438654	12.6011	-2.35412	-4.58326	3.05948
-0.391466	12.3633	4.98698	4.36726	0.367044	-0.476482	12.3633	-0.555273	12.3714	-2.31202	-4.60823	0.439783
-0.49606	12.1554	4.91064	4.3749	0.357419	-0.972122	12.5207	-0.669818	12.1404	-2.27111	-4.63198	3.71518
-0.57602	11.9411	4.88417	4.39057	0.355859	-0.582624	12.0386	-0.78235	11.9083	-2.23144	-4.65456	0.502266
